Date(UTC),UnixTimeStamp,Value
7/30/2015,1438214400,1299
7/31/2015,1438300800,511
8/1/2015,1438387200,334
8/2/2015,1438473600,394
8/3/2015,1438560000,443
8/4/2015,1438646400,458
8/5/2015,1438732800,371
8/6/2015,1438819200,411
8/7/2015,1438905600,409
8/8/2015,1438992000,458
8/9/2015,1439078400,421
8/10/2015,1439164800,415
8/11/2015,1439251200,438
8/12/2015,1439337600,474
8/13/2015,1439424000,504
8/14/2015,1439510400,555
8/15/2015,1439596800,441
8/17/2015,1439769600,377
8/16/2015,1439683200,385
8/18/2015,1439856000,390
8/19/2015,1439942400,361
8/20/2015,1440028800,257
8/21/2015,1440115200,338
8/22/2015,1440201600,323
8/23/2015,1440288000,320
8/24/2015,1440374400,377
8/25/2015,1440460800,335
8/26/2015,1440547200,303
8/27/2015,1440633600,266
8/28/2015,1440720000,257
8/29/2015,1440806400,232
8/30/2015,1440892800,179
8/31/2015,1440979200,182
9/1/2015,1441065600,171
9/2/2015,1441152000,135
9/3/2015,1441238400,126
9/4/2015,1441324800,232
9/5/2015,1441411200,274
9/6/2015,1441497600,345
9/7/2015,1441584000,343
9/8/2015,1441670400,348
9/9/2015,1441756800,345
9/10/2015,1441843200,383
9/11/2015,1441929600,411
9/12/2015,1442016000,339
9/13/2015,1442102400,353
9/14/2015,1442188800,360
9/15/2015,1442275200,378
9/16/2015,1442361600,412
9/17/2015,1442448000,372
9/18/2015,1442534400,403
9/19/2015,1442620800,490
9/20/2015,1442707200,389
9/21/2015,1442793600,340
9/22/2015,1442880000,298
9/23/2015,1442966400,334
9/24/2015,1443052800,341
9/25/2015,1443139200,366
9/26/2015,1443225600,338
9/27/2015,1443312000,307
9/28/2015,1443398400,275
9/29/2015,1443484800,314
9/30/2015,1443571200,356
10/1/2015,1443657600,373
10/2/2015,1443744000,324
10/3/2015,1443830400,292
10/4/2015,1443916800,281
10/5/2015,1444003200,292
10/6/2015,1444089600,266
10/7/2015,1444176000,295
10/8/2015,1444262400,270
10/9/2015,1444348800,245
10/10/2015,1444435200,270
10/11/2015,1444521600,301
10/12/2015,1444608000,284
10/13/2015,1444694400,301
10/14/2015,1444780800,320
10/15/2015,1444867200,263
10/16/2015,1444953600,273
10/17/2015,1445040000,312
10/18/2015,1445126400,297
10/19/2015,1445212800,291
10/20/2015,1445299200,332
10/22/2015,1445472000,305
10/21/2015,1445385600,289
10/23/2015,1445558400,331
10/24/2015,1445644800,336
10/25/2015,1445731200,351
10/26/2015,1445817600,366
10/27/2015,1445904000,376
10/28/2015,1445990400,398
10/29/2015,1446076800,453
10/30/2015,1446163200,409
10/31/2015,1446249600,554
11/1/2015,1446336000,625
11/2/2015,1446422400,531
11/3/2015,1446508800,573
11/4/2015,1446595200,549
11/5/2015,1446681600,473
11/6/2015,1446768000,450
11/7/2015,1446854400,550
11/8/2015,1446940800,570
11/9/2015,1447027200,509
11/10/2015,1447113600,574
11/11/2015,1447200000,702
11/12/2015,1447286400,693
11/13/2015,1447372800,681
11/14/2015,1447459200,713
11/15/2015,1447545600,561
11/16/2015,1447632000,577
11/17/2015,1447718400,515
11/18/2015,1447804800,489
11/19/2015,1447891200,446
11/20/2015,1447977600,403
11/21/2015,1448064000,422
11/22/2015,1448150400,459
11/23/2015,1448236800,483
11/24/2015,1448323200,484
11/25/2015,1448409600,464
11/26/2015,1448496000,486
11/27/2015,1448582400,528
11/28/2015,1448668800,571
11/29/2015,1448755200,550
11/30/2015,1448841600,516
12/1/2015,1448928000,566
